"minPts","eps","Precision", "Recall","F1"
4,0.35,0.0285806037251124,0.956989247311828,0.055503585905831
4,0.36,0.0390804597701149,0.913978494623656,0.0749559082892416
4,0.37,0.0580825752274318,0.89247311827957,0.109067017082786
4,0.38,0.0877573131094258,0.870967741935484,0.159448818897638
4,0.39,0.120915032679739,0.795698924731183,0.209929078014184
4,0.4,0.175182481751825,0.774193548387097,0.285714285714286
4,0.41,0.25187969924812,0.720430107526882,0.373259052924791
4,0.42,0.349726775956284,0.688172043010753,0.463768115942029
4,0.43,0.464566929133858,0.634408602150538,0.536363636363636
4,0.44,0.637362637362637,0.623655913978495,0.630434782608696
4,0.45,0.736842105263158,0.602150537634409,0.662721893491124
4,0.46,0.787878787878788,0.559139784946237,0.654088050314465
4,0.47,0.872727272727273,0.516129032258065,0.648648648648649
4,0.48,0.9375,0.483870967741935,0.638297872340425
4,0.49,0.975609756097561,0.43010752688172,0.597014925373134
4,0.5,1,0.376344086021505,0.546875
4,0.51,1,0.365591397849462,0.535433070866142
4,0.52,1,0.354838709677419,0.523809523809524
4,0.53,1,0.333333333333333,0.5
4,0.54,1,0.290322580645161,0.45
4,0.55,1,0.247311827956989,0.396551724137931
4,0.56,1,0.236559139784946,0.382608695652174
4,0.57,1,0.225806451612903,0.368421052631579
4,0.58,1,0.225806451612903,0.368421052631579
4,0.59,1,0.21505376344086,0.353982300884956
4,0.6,1,0.204301075268817,0.339285714285714
4,0.61,1,0.172043010752688,0.293577981651376
4,0.62,1,0.150537634408602,0.261682242990654
4,0.63,1,0.139784946236559,0.245283018867925
4,0.64,1,0.129032258064516,0.228571428571429
4,0.65,1,0.118279569892473,0.211538461538462
4,0.66,1,0.0967741935483871,0.176470588235294
4,0.67,1,0.0752688172043011,0.14
4,0.68,1,0.0537634408602151,0.102040816326531
4,0.69,1,0.032258064516129,0.0625
4,0.7,1,0.021505376344086,0.0421052631578947
4,0.71,1,0.021505376344086,0.0421052631578947
4,0.72,1,0.010752688172043,0.0212765957446809
4,0.73,1,0.010752688172043,0.0212765957446809
4,0.74,1,0.010752688172043,0.0212765957446809
5,0.1,0.0093,1,0.0184286138908154
5,0.11,0.0093,1,0.0184286138908154
5,0.12,0.0093,1,0.0184286138908154
5,0.13,0.0093,1,0.0184286138908154
5,0.14,0.0093,1,0.0184286138908154
5,0.15,0.0093,1,0.0184286138908154
5,0.16,0.0093,1,0.0184286138908154
5,0.17,0.0093,1,0.0184286138908154
5,0.18,0.0093,1,0.0184286138908154
5,0.19,0.0093,1,0.0184286138908154
5,0.2,0.0093,1,0.0184286138908154
5,0.21,0.0093,1,0.0184286138908154
5,0.22,0.0093,1,0.0184286138908154
5,0.23,0.0093,1,0.0184286138908154
5,0.24,0.0093,1,0.0184286138908154
5,0.25,0.0093,1,0.0184286138908154
5,0.26,0.00930465232616308,1,0.0184377478191911
5,0.27,0.0093242430318829,1,0.0184762093970398
5,0.28,0.00936650216537416,1,0.018559169826382
5,0.29,0.00951698731068359,1,0.0188545362392296
5,0.3,0.00975558585964544,1,0.0193226677747766
5,0.31,0.0101961653552034,0.989247311827957,0.0201842913558578
5,0.32,0.011063829787234,0.978494623655914,0.0218802596778072
5,0.33,0.0126882320133854,0.978494623655914,0.0250516173434274
5,0.34,0.0155157715260017,0.978494623655914,0.0305471634776771
5,0.35,0.0203170350524671,0.978494623655914,0.0398075240594926
5,0.36,0.0270685942786835,0.946236559139785,0.0526315789473684
5,0.37,0.0396496081143384,0.924731182795699,0.0760389036251105
5,0.38,0.0582800284292822,0.881720430107527,0.109333333333333
5,0.39,0.0849162011173184,0.817204301075269,0.153846153846154
5,0.4,0.125,0.795698924731183,0.216058394160584
5,0.41,0.181818181818182,0.731182795698925,0.291220556745182
5,0.42,0.266666666666667,0.688172043010753,0.384384384384384
5,0.43,0.357575757575758,0.634408602150538,0.457364341085271
5,0.44,0.547169811320755,0.623655913978495,0.582914572864322
5,0.45,0.691358024691358,0.602150537634409,0.64367816091954
5,0.46,0.779411764705882,0.56989247311828,0.658385093167702
5,0.47,0.875,0.526881720430108,0.657718120805369
5,0.48,0.938775510204082,0.494623655913978,0.647887323943662
5,0.49,0.975609756097561,0.43010752688172,0.597014925373134
5,0.5,0.972222222222222,0.376344086021505,0.542635658914729
5,0.51,1,0.365591397849462,0.535433070866142
5,0.52,1,0.354838709677419,0.523809523809524
5,0.53,1,0.333333333333333,0.5
5,0.54,1,0.301075268817204,0.462809917355372
5,0.55,1,0.247311827956989,0.396551724137931
5,0.56,1,0.236559139784946,0.382608695652174
5,0.57,1,0.225806451612903,0.368421052631579
5,0.58,1,0.225806451612903,0.368421052631579
5,0.59,1,0.21505376344086,0.353982300884956
5,0.6,1,0.21505376344086,0.353982300884956
5,0.61,1,0.172043010752688,0.293577981651376
5,0.62,1,0.150537634408602,0.261682242990654
5,0.63,1,0.139784946236559,0.245283018867925
5,0.64,1,0.129032258064516,0.228571428571429
