"minPts","eps","Precision", "Recall","F1"
2,0.7,1,0.0149253731343284,0.0294117647058824
2,0.71,1,0.0149253731343284,0.0294117647058824
2,0.72,1,0.0149253731343284,0.0294117647058824
2,0.73,1,0.0149253731343284,0.0294117647058824
2,0.74,1,0.0149253731343284,0.0294117647058824
2,0.75,1,0.0149253731343284,0.0294117647058824
2,0.76,1,0.0149253731343284,0.0294117647058824
2,0.77,1,0.0149253731343284,0.0294117647058824
2,0.78,1,0.0149253731343284,0.0294117647058824
2,0.79,1,0.0149253731343284,0.0294117647058824
2,0.8,1,0.0149253731343284,0.0294117647058824
3,0.1,0.0067,1,0.0133108175225986
3,0.11,0.0067,1,0.0133108175225986
3,0.12,0.0067,1,0.0133108175225986
3,0.13,0.0067,1,0.0133108175225986
3,0.14,0.0067,1,0.0133108175225986
3,0.15,0.0067,1,0.0133108175225986
3,0.16,0.0067,1,0.0133108175225986
3,0.17,0.0067,1,0.0133108175225986
3,0.18,0.0067,1,0.0133108175225986
3,0.19,0.0067,1,0.0133108175225986
3,0.2,0.0067,1,0.0133108175225986
3,0.21,0.0067,1,0.0133108175225986
3,0.22,0.0067,1,0.0133108175225986
3,0.23,0.0067,1,0.0133108175225986
3,0.24,0.0067,1,0.0133108175225986
3,0.25,0.00670804965959151,1,0.0133267031327698
3,0.26,0.00671611868484362,1,0.0133426267051678
3,0.27,0.00672555711704477,1,0.0133612523681324
3,0.28,0.00674315619967794,1,0.0133959812056383
3,0.29,0.00677246537956131,1,0.0134538152610442
3,0.3,0.006841621566425,1,0.0135902636916836
3,0.31,0.00693007860984692,1,0.0137647663071392
3,0.32,0.00705931935517859,1,0.014019669386901
3,0.33,0.00730404447836041,1,0.0145021645021645
3,0.34,0.00766765850308995,1,0.0152186257808064
3,0.35,0.00817571690054912,1,0.0162188332122973
3,0.36,0.00892262618191503,1,0.0176874340021119
3,0.37,0.00969020701805902,0.985074626865672,0.0191916254725211
3,0.38,0.0110924369747899,0.985074626865672,0.0219378427787934
3,0.39,0.0127931769722814,0.985074626865672,0.0252583237657865
3,0.4,0.0154639175257732,0.985074626865672,0.0304498269896194
3,0.41,0.0191748983149332,0.985074626865672,0.0376175548589342
3,0.42,0.0241545893719807,0.970149253731343,0.04713560551124
3,0.43,0.0298656047784968,0.895522388059702,0.0578034682080925
3,0.44,0.038025350233489,0.850746268656716,0.0727969348659004
3,0.45,0.0503533568904594,0.850746268656716,0.0950792326939116
3,0.46,0.0625,0.761194029850746,0.115515288788222
3,0.47,0.0834813499111901,0.701492537313433,0.149206349206349
3,0.48,0.110817941952507,0.626865671641791,0.188340807174888
3,0.49,0.150735294117647,0.611940298507463,0.24188790560472
3,0.5,0.193236714975845,0.597014925373134,0.291970802919708
3,0.51,0.248275862068966,0.537313432835821,0.339622641509434
3,0.52,0.278260869565217,0.477611940298507,0.351648351648352
3,0.53,0.35,0.417910447761194,0.380952380952381
3,0.54,0.448275862068966,0.388059701492537,0.416
3,0.55,0.533333333333333,0.358208955223881,0.428571428571428
3,0.56,0.527777777777778,0.283582089552239,0.368932038834951
3,0.57,0.62962962962963,0.253731343283582,0.361702127659575
3,0.58,0.666666666666667,0.238805970149254,0.351648351648352
3,0.59,0.8,0.238805970149254,0.367816091954023
3,0.6,0.882352941176471,0.223880597014925,0.357142857142857
3,0.61,1,0.208955223880597,0.345679012345679
3,0.62,1,0.208955223880597,0.345679012345679
3,0.63,1,0.149253731343284,0.25974025974026
3,0.64,1,0.104477611940299,0.189189189189189
3,0.65,1,0.0895522388059701,0.164383561643836
3,0.66,1,0.0746268656716418,0.138888888888889
3,0.67,1,0.0746268656716418,0.138888888888889
3,0.68,1,0.0746268656716418,0.138888888888889
3,0.69,1,0.0597014925373134,0.112676056338028
3,0.7,1,0.0149253731343284,0.0294117647058824
3,0.71,1,0.0149253731343284,0.0294117647058824
3,0.72,1,0.0149253731343284,0.0294117647058824
3,0.73,1,0.0149253731343284,0.0294117647058824
3,0.74,1,0.0149253731343284,0.0294117647058824
3,0.75,1,0.0149253731343284,0.0294117647058824
3,0.76,1,0.0149253731343284,0.0294117647058824
3,0.77,1,0.0149253731343284,0.0294117647058824
3,0.78,1,0.0149253731343284,0.0294117647058824
3,0.79,1,0.0149253731343284,0.0294117647058824
3,0.8,1,0.0149253731343284,0.0294117647058824
4,0.1,0.0067,1,0.0133108175225986
4,0.11,0.0067,1,0.0133108175225986
4,0.12,0.0067,1,0.0133108175225986
4,0.13,0.0067,1,0.0133108175225986
4,0.14,0.0067,1,0.0133108175225986
4,0.15,0.0067,1,0.0133108175225986
4,0.16,0.0067,1,0.0133108175225986
