"minPts","eps","Precision", "Recall","F1"
3,0.39,0.172018348623853,0.77319587628866,0.281425891181989
3,0.4,0.226114649681529,0.731958762886598,0.345498783454988
3,0.41,0.3,0.680412371134021,0.416403785488959
3,0.42,0.407643312101911,0.65979381443299,0.503937007874016
3,0.43,0.536363636363636,0.608247422680412,0.570048309178744
3,0.44,0.619565217391304,0.587628865979381,0.603174603174603
3,0.45,0.688311688311688,0.54639175257732,0.60919540229885
3,0.46,0.833333333333333,0.515463917525773,0.636942675159236
3,0.47,0.892857142857143,0.515463917525773,0.65359477124183
3,0.48,0.925925925925926,0.515463917525773,0.662251655629139
3,0.49,0.979166666666667,0.484536082474227,0.648275862068965
3,0.5,0.977272727272727,0.443298969072165,0.609929078014184
3,0.51,1,0.412371134020619,0.583941605839416
3,0.52,1,0.412371134020619,0.583941605839416
3,0.53,1,0.391752577319588,0.562962962962963
3,0.54,1,0.360824742268041,0.53030303030303
3,0.55,1,0.309278350515464,0.47244094488189
3,0.56,1,0.298969072164948,0.46031746031746
3,0.57,1,0.216494845360825,0.355932203389831
3,0.58,1,0.206185567010309,0.341880341880342
3,0.59,1,0.164948453608247,0.283185840707965
3,0.6,1,0.144329896907216,0.252252252252252
3,0.61,1,0.144329896907216,0.252252252252252
3,0.62,1,0.134020618556701,0.236363636363636
3,0.63,1,0.11340206185567,0.203703703703704
3,0.64,1,0.0927835051546392,0.169811320754717
3,0.65,1,0.0721649484536082,0.134615384615385
3,0.66,1,0.0721649484536082,0.134615384615385
3,0.67,1,0.0721649484536082,0.134615384615385
3,0.68,1,0.0721649484536082,0.134615384615385
3,0.69,1,0.0618556701030928,0.116504854368932
3,0.7,1,0.0515463917525773,0.0980392156862745
3,0.71,1,0.0412371134020619,0.0792079207920792
3,0.72,1,0.0309278350515464,0.06
3,0.73,1,0.0309278350515464,0.06
3,0.74,1,0.0206185567010309,0.0404040404040404
3,0.75,1,0.0206185567010309,0.0404040404040404
3,0.76,1,0.0206185567010309,0.0404040404040404
4,0.1,0.0097,1,0.0192136278102407
4,0.11,0.0097,1,0.0192136278102407
4,0.12,0.0097,1,0.0192136278102407
4,0.13,0.0097,1,0.0192136278102407
4,0.14,0.0097,1,0.0192136278102407
4,0.15,0.0097,1,0.0192136278102407
4,0.16,0.0097,1,0.0192136278102407
4,0.17,0.0097,1,0.0192136278102407
4,0.18,0.0097,1,0.0192136278102407
4,0.19,0.0097,1,0.0192136278102407
4,0.2,0.0097,1,0.0192136278102407
4,0.21,0.0097,1,0.0192136278102407
4,0.22,0.0097,1,0.0192136278102407
4,0.23,0.0097,1,0.0192136278102407
4,0.24,0.00970388155262105,1,0.0192212424452591
4,0.25,0.0097233360064154,1,0.0192594063337635
4,0.26,0.00977526957573314,1,0.0193612774451098
4,0.27,0.00985872548023173,1,0.019524959742351
4,0.28,0.010048689526572,1,0.0198974358974359
4,0.29,0.0104955637307942,1,0.0207731020451869
4,0.3,0.0111381830838844,0.989690721649485,0.0220284534189995
4,0.31,0.0124416796267496,0.989690721649485,0.0245744272366569
4,0.32,0.0143583607538139,0.989690721649485,0.0283060592658116
4,0.33,0.0174375917767988,0.979381443298969,0.0342651036970243
4,0.34,0.0223384030418251,0.969072164948454,0.0436701509872242
4,0.35,0.0288079470198675,0.896907216494845,0.055822906641001
4,0.36,0.0397567820392891,0.876288659793814,0.0760626398210291
4,0.37,0.0577319587628866,0.865979381443299,0.108247422680412
4,0.38,0.0859538784067086,0.845360824742268,0.15604186489058
4,0.39,0.118935837245696,0.783505154639175,0.206521739130435
4,0.4,0.173913043478261,0.742268041237113,0.281800391389432
4,0.41,0.236559139784946,0.680412371134021,0.351063829787234
4,0.42,0.349726775956284,0.65979381443299,0.457142857142857
4,0.43,0.4609375,0.608247422680412,0.524444444444444
4,0.44,0.575757575757576,0.587628865979381,0.581632653061224
4,0.45,0.67948717948718,0.54639175257732,0.605714285714286
4,0.46,0.819672131147541,0.515463917525773,0.632911392405063
4,0.47,0.892857142857143,0.515463917525773,0.65359477124183
4,0.48,0.925925925925926,0.515463917525773,0.662251655629139
4,0.49,0.979591836734694,0.494845360824742,0.657534246575343
4,0.5,0.977777777777778,0.45360824742268,0.619718309859155
4,0.51,1,0.422680412371134,0.594202898550725
4,0.52,1,0.422680412371134,0.594202898550725
4,0.53,1,0.391752577319588,0.562962962962963
4,0.54,1,0.360824742268041,0.53030303030303
4,0.55,1,0.319587628865979,0.484375
4,0.56,1,0.309278350515464,0.47244094488189
4,0.57,1,0.22680412371134,0.369747899159664
4,0.58,1,0.216494845360825,0.355932203389831
4,0.59,1,0.175257731958763,0.298245614035088
4,0.6,1,0.154639175257732,0.267857142857143
4,0.61,1,0.144329896907216,0.252252252252252
4,0.62,1,0.134020618556701,0.236363636363636
4,0.63,1,0.11340206185567,0.203703703703704
4,0.64,1,0.0927835051546392,0.169811320754717
